DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,NM_SOCIAL_CANDIDATO,CD_SITUACAO_CANDIDATURA,DS_SITUACAO_CANDIDATURA,CD_DETALHE_SITUACAO_CAND,DS_DETALHE_SITUACAO_CAND,TP_AGREMIACAO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,SQ_COLIGACAO,NM_COLIGACAO,DS_COMPOSICAO_COLIGACAO,CD_SIT_TOT_TURNO,DS_SIT_TOT_TURNO,ST_VOTO_EM_TRANSITO,QT_VOTOS_NOMINAIS
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,54,13,Vereador,120000006849,20222,ABADIO MARQUES DE REZENDE,ABADIO REZENDE,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,20,PSC,Partido Social Cristão,120000000463,PARTIDO ISOLADO,PSC,4,NÃO ELEITO,N,77
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,44,13,Vereador,120000006849,20222,ABADIO MARQUES DE REZENDE,ABADIO REZENDE,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,20,PSC,Partido Social Cristão,120000000463,PARTIDO ISOLADO,PSC,4,NÃO ELEITO,N,104
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,35,13,Vereador,120000006849,20222,ABADIO MARQUES DE REZENDE,ABADIO REZENDE,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,20,PSC,Partido Social Cristão,120000000463,PARTIDO ISOLADO,PSC,4,NÃO ELEITO,N,110
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,53,13,Vereador,120000006849,20222,ABADIO MARQUES DE REZENDE,ABADIO REZENDE,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,20,PSC,Partido Social Cristão,120000000463,PARTIDO ISOLADO,PSC,4,NÃO ELEITO,N,128
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,36,13,Vereador,120000006849,20222,ABADIO MARQUES DE REZENDE,ABADIO REZENDE,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,20,PSC,Partido Social Cristão,120000000463,PARTIDO ISOLADO,PSC,4,NÃO ELEITO,N,89
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,8,13,Vereador,120000006849,20222,ABADIO MARQUES DE REZENDE,ABADIO REZENDE,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,20,PSC,Partido Social Cristão,120000000463,PARTIDO ISOLADO,PSC,4,NÃO ELEITO,N,90
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,44,13,Vereador,120000002280,77864,ADA SABRINA PEDROSO MARTINS,SABRINA,#NULO#,12,APTO,2,DEFERIDO,Coligação,77,SD,Solidariedade,120000000167,JUNTOS POR CAMPO GRANDE III,SD / PSL / PRB,5,SUPLENTE,N,15
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,8,13,Vereador,120000002280,77864,ADA SABRINA PEDROSO MARTINS,SABRINA,#NULO#,12,APTO,2,DEFERIDO,Coligação,77,SD,Solidariedade,120000000167,JUNTOS POR CAMPO GRANDE III,SD / PSL / PRB,5,SUPLENTE,N,16
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,35,13,Vereador,120000002280,77864,ADA SABRINA PEDROSO MARTINS,SABRINA,#NULO#,12,APTO,2,DEFERIDO,Coligação,77,SD,Solidariedade,120000000167,JUNTOS POR CAMPO GRANDE III,SD / PSL / PRB,5,SUPLENTE,N,11
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,53,13,Vereador,120000002280,77864,ADA SABRINA PEDROSO MARTINS,SABRINA,#NULO#,12,APTO,2,DEFERIDO,Coligação,77,SD,Solidariedade,120000000167,JUNTOS POR CAMPO GRANDE III,SD / PSL / PRB,5,SUPLENTE,N,16
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,36,13,Vereador,120000002280,77864,ADA SABRINA PEDROSO MARTINS,SABRINA,#NULO#,12,APTO,2,DEFERIDO,Coligação,77,SD,Solidariedade,120000000167,JUNTOS POR CAMPO GRANDE III,SD / PSL / PRB,5,SUPLENTE,N,4
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,54,13,Vereador,120000002280,77864,ADA SABRINA PEDROSO MARTINS,SABRINA,#NULO#,12,APTO,2,DEFERIDO,Coligação,77,SD,Solidariedade,120000000167,JUNTOS POR CAMPO GRANDE III,SD / PSL / PRB,5,SUPLENTE,N,11
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,44,13,Vereador,120000002874,14777,ADALTRO ALBINELI PINTO,ALBINELI,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,14,PTB,Partido Trabalhista Brasileiro,120000000202,PARTIDO ISOLADO,PTB,5,SUPLENTE,N,162
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,36,13,Vereador,120000002874,14777,ADALTRO ALBINELI PINTO,ALBINELI,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,14,PTB,Partido Trabalhista Brasileiro,120000000202,PARTIDO ISOLADO,PTB,5,SUPLENTE,N,43
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,53,13,Vereador,120000002874,14777,ADALTRO ALBINELI PINTO,ALBINELI,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,14,PTB,Partido Trabalhista Brasileiro,120000000202,PARTIDO ISOLADO,PTB,5,SUPLENTE,N,152
27/09/2020,01:07:02,2016,2,Eleição Ordinária,1,220,ELEIÇÕES MUNICIPAIS 2016,02/10/2016,M,MS,90514,CAMPO GRANDE,90514,CAMPO GRANDE,8,13,Vereador,120000002874,14777,ADALTRO ALBINELI PINTO,ALBINELI,#NULO#,12,APTO,2,DEFERIDO,Partido isolado,14,PTB,Partido Trabalhista Brasileiro,120000000202,PARTIDO ISOLADO,PTB,5,SUPLENTE,N,83
