UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Nome_Ministro,Partido_Ministro,Partido_Governador,Governo_Base_Aliada,Partido_Ministro_Partido_Governador,UFMinistro_Ufdestino,Transferencia_percapita,Vl_Liberado
MT,CUIABA,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.319800696520195,983662.81
RJ,RIO DE JANEIRO,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.0600118674247499,982345
SC,FLORIANOPOLIS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PMDB,sim,nao,nao,0.159813625118754,977858.5
MT,CUIABA,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PMDB,sim,nao,nao,0.317798717887864,977505
PB,CAMPINA GRANDE,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PSB,sim,nao,nao,0.255846985626594,976100
PI,TERESINA,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PSB,sim,nao,nao,0.305394948787342,975650.74
PB,CAMPINA GRANDE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2014,Clelio Campolina Diniz,sem_partido,PSB,sim,nao,nao,0.247233375212513,975060
BA,ILHEUS,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0687814141472858,975000
RO,PORTO VELHO,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2015,Kátia Abreu,PMDB,PMDB,sim,sim,nao,0.551344313212729,974889.22
PE,RECIFE,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PSB,sim,nao,nao,0.109057994219702,974000
PI,TERESINA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2014,Laudemir André Müller,sem_partido,PSB,sim,nao,nao,0.304757728225152,973615
PI,TERESINA,MINISTERIO DA CULTURA,2015,Juca Ferreira,PV,PT,sim,nao,nao,0.302369392527156,968800
MT,CUIABA,MINISTERIO DOS DIREITOS HUMANOS,2015,Nilma Lino Gomes,sem_partido,PDT,sim,nao,nao,0.296428148826851,967981.97
MS,CAMPO GRANDE,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PMDB,sim,nao,nao,0.410032120340708,967880
AM,MANAUS,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PMDB,sim,sim,nao,0.28486930540121,966666.67
PE,RECIFE,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PSB,sim,nao,nao,0.108834905863108,964800
PE,RECIFE,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PSB,sim,nao,nao,0.10942680780218,964078.19
SE,ARACAJU,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PT,sim,sim,nao,0.46109019453216,963578.45
PB,CABEDELO,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2011,Afonso Florense,PT,PSB,sim,nao,nao,0.254012096433847,963010.66
ES,VITORIA,PRESIDENCIA DA REPÚBLICA,2012,Gilberto Carvalho,PT,PSB,sim,nao,nao,0.269015085519639,962554
CE,FORTALEZA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2015,Celso Pansera,PMDB,PT,sim,nao,nao,0.107811153939841,960000
SC,FLORIANOPOLIS,MINISTERIO DE MINAS E ENERGIA,2010,Edison Lobão,PMDB,PMDB,sim,sim,nao,0.153607815565656,960000
DF,BRASILIA,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.371023774489626,959938.31
DF,BRASILIA,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PT,sim,sim,nao,0.3358608203979,958000
AP,MACAPA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PDT,sim,nao,nao,1.52706552251883,956873
MT,CACERES,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PMDB,sim,nao,nao,0.306746309226356,955617.82
PB,CAMPINA GRANDE,MINISTERIO DA EDUCACAO,2015,Aloizio Mercadante,PT,PSB,sim,nao,nao,0.23995660089794,953156.09
PI,TERESINA,MINISTERIO DA CULTURA,2013,Marta Suplicy,PT,PSB,sim,nao,nao,0.298975618733445,951988
AP,MACAPA,MINISTERIO DA DEFESA,2012,Celso Amorim,PT,PSB,sim,nao,nao,1.36035968978045,950350
MS,CAMPO GRANDE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2008,Reinhold Stephanes,PMDB,PMDB,sim,sim,nao,0.406792125880436,950290
GO,GOIANIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,Wagner Rossi,PMDB,PP,sim,nao,nao,0.158133341772089,949439.7
PE,RECIFE,MINISTERIO DA CULTURA,2013,Marta Suplicy,PT,PSB,sim,nao,nao,0.102893506578126,947500
TO,PALMAS,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.624939219576458,946861.66
PI,TERESINA,MINISTERIO DAS CIDADES,2015,PSD,Gilberto Kassab,PT,sim,nao,nao,0.295237678946626,945949.79
BA,SALVADOR,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2009,Sérgio Machado Rezende,PSB,PT,sim,nao,nao,0.0645608048006458,945000
PE,RECIFE,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PSB,sim,nao,nao,0.101256363762374,939428.9
RJ,RIO DE JANEIRO,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.0567081334746101,938520.97
AC,RIO BRANCO,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PT,sim,sim,nao,1.25628375816446,937658.79
RS,PORTO ALEGRE,MINISTERIO DA EDUCACAO,2011,Fernando Haddad,PT,PT,sim,sim,nao,0.0873493049790502,937500
RJ,RIO DE JANEIRO,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PMDB,sim,nao,nao,0.0583834599310237,934744.24
MT,CUIABA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2013,Pepe Vargas,PT,PMDB,sim,nao,nao,0.293515346563746,933999
PE,RECIFE,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PSB,sim,nao,nao,0.105301020225717,933472.8
ES,VITORIA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2011,Paulo Roberto dos Santos Pinto,PDT,PSB,sim,nao,nao,0.262901227032435,932514.07
AM,MANAUS,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PMDB,sim,nao,nao,0.267190196202919,930072.24
DF,BRASILIA,MINISTERIO DA CULTURA,2012,Marta Suplicy,PT,PT,sim,sim,nao,0.35113791337994,930000
ES,VITORIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,Wagner Rossi,PMDB,PMDB,sim,sim,nao,0.26412571398639,927787
GO,GOIANIA,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PP,sim,nao,nao,0.156492246426944,927420
PB,JOAO PESSOA,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PSB,sim,nao,nao,0.244508670078076,926981.27
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PT,sim,sim,nao,1.19159551710771,925229.83
PI,TERESINA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2014,Laudemir André Müller,sem_partido,PSB,sim,nao,nao,0.289170217840824,923817.3
BA,SALVADOR,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2013,Pepe Vargas,PT,PT,sim,sim,nao,0.061293184181984,922103.06
DF,BRASILIA,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.353241497978733,921959.25
CE,FORTALEZA,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,sim,nao,nao,0.106994470721316,920794.95
PI,TERESINA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2008,Guilherme Cassel ,PT,PT,sim,sim,nao,0.294900434240889,920000
DF,BRASILIA,MINISTERIO DAS CIDADES,2014,Gilberto Occhi,PP,PT,sim,nao,nao,0.321022959137167,915676.9
RS,PORTO ALEGRE,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0850088941166989,915597.05
DF,BRASILIA,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PT,sim,nao,nao,0.320825488400531,915113.64
MT,CUIABA,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PMDB,sim,nao,nao,0.297443448373171,914895
MS,CAMPO GRANDE,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PMDB,sim,nao,nao,0.37315065970806,913973.21
TO,PALMAS,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PMDB,sim,nao,nao,0.705484535827146,911522
RJ,RIO DE JANEIRO,MINISTERIO DA EDUCACAO,2011,Fernando Haddad,PT,PMDB,sim,nao,nao,0.0564820358082913,910074.54
BA,SALVADOR,MINISTERIO DO ESPORTE,2015,George Hilton,PRB,PT,sim,nao,nao,0.0598529301692575,910000
TO,PALMAS,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PMDB,sim,nao,nao,0.70384543644175,909404.2
DF,BRASILIA,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PT,sim,sim,nao,0.318714007149138,909090.91
MT,CUIABA,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.281601023087704,907982.23
SE,ARACAJU,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2013,Pepe Vargas,PT,PT,sim,sim,nao,0.41263181673682,906000
RN,NATAL,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PSD,sim,nao,nao,0.262899323828684,904945.48
CE,FORTALEZA,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PSB,sim,nao,nao,0.105708960038765,903580
MS,CAMPO GRANDE,MINISTERIO DA INTEGRACAO NACIONAL,2011,Fernando Bezerra Coelho,PSB,PMDB,sim,nao,nao,0.364595964325386,903287.96
