UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Partido_Ministro_Partido_Governador,UFMinistro_Ufdestino,Vl_Liberado
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2011,sim,sim,750000
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2011,sim,sim,890714.91
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2011,sim,sim,353806.05
BA,SALVADOR,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2011,sim,sim,5351787.12
PE,RECIFE,MINISTERIO DA INTEGRACAO NACIONAL,2012,sim,sim,17059626.32
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2011,sim,sim,595000
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2011,sim,sim,147915.75
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2011,sim,sim,1647000
BA,SALVADOR,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2011,sim,sim,3603033.76
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2011,sim,sim,243660
PE,RECIFE,MINISTERIO DA INTEGRACAO NACIONAL,2011,sim,sim,2965676.82
BA,SALVADOR,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2011,sim,sim,1063833.94
MA,SAO LUIS,MINISTERIO DO TURISMO,2011,sim,sim,1485000
PE,RECIFE,MINISTERIO DA INTEGRACAO NACIONAL,2012,sim,sim,10988000
PE,RECIFE,MINISTERIO DA INTEGRACAO NACIONAL,2012,sim,sim,179506879.11
PE,RECIFE,MINISTERIO DA INTEGRACAO NACIONAL,2012,sim,sim,255899.52
PE,RECIFE,MINISTERIO DA INTEGRACAO NACIONAL,2012,sim,sim,771621.32
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2012,sim,sim,310150
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2012,sim,sim,150000
PE,RECIFE,MINISTERIO DA INTEGRACAO NACIONAL,2012,sim,sim,591090.84
PE,RECIFE,MINISTERIO DA INTEGRACAO NACIONAL,2012,sim,sim,122701
MA,SAO LUIS,MINISTERIO DO TURISMO,2012,sim,sim,32887517.12
MA,SAO LUIS,MINISTERIO DO TURISMO,2012,sim,sim,10094709.5
RS,PORTO ALEGRE,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2012,sim,sim,441336.7
RS,PORTO ALEGRE,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2012,sim,sim,1500000
RS,PORTO ALEGRE,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2012,sim,sim,1025827.15
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2012,sim,sim,361912.85
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2012,sim,sim,375000
RS,PORTO ALEGRE,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2012,sim,sim,19759518.38
MA,SAO LUIS,MINISTERIO DO TURISMO,2012,sim,sim,145750
RS,PORTO ALEGRE,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2012,sim,sim,31629918.5
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2012,sim,sim,674000
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2012,sim,sim,375000
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2012,sim,sim,125000
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2012,sim,sim,350000
RS,PORTO ALEGRE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2012,sim,sim,510000
PE,RECIFE,MINISTERIO DA INTEGRACAO NACIONAL,2013,sim,sim,1703316.33
MA,SAO LUIS,MINISTERIO DO TURISMO,2012,sim,sim,281555.23
MA,SAO LUIS,MINISTERIO DO TURISMO,2012,sim,sim,528111.11
RS,PORTO ALEGRE,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2012,sim,sim,11757323.06
RS,PORTO ALEGRE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2012,sim,sim,1888134
PE,RECIFE,MINISTERIO DA INTEGRACAO NACIONAL,2013,sim,sim,19983743.4
PE,RECIFE,MINISTERIO DA INTEGRACAO NACIONAL,2013,sim,sim,41119750
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2013,sim,sim,111111.11
RS,PORTO ALEGRE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2013,sim,sim,2996150
MA,SAO LUIS,MINISTERIO DE MINAS E ENERGIA,2013,sim,sim,522300
RS,PORTO ALEGRE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2013,sim,sim,2037256
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2013,sim,sim,735883.74
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2013,sim,sim,1598844.85
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2013,sim,sim,237847.52
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2013,sim,sim,2427523.5
RS,PORTO ALEGRE,MINISTERIO DA EDUCACAO,2014,sim,sim,2500000
MA,SAO LUIS,MINISTERIO DO TURISMO,2013,sim,sim,383426
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2013,sim,sim,318759.72
RS,PORTO ALEGRE,MINISTERIO DOS DIREITOS HUMANOS,2013,sim,sim,224000
RS,PORTO ALEGRE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2013,sim,sim,2140141
RS,PORTO ALEGRE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2013,sim,sim,11095757.45
RS,PORTO ALEGRE,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2014,sim,sim,7500000
RS,PORTO ALEGRE,MINISTERIO DA EDUCACAO,2014,sim,sim,1839036.6
RS,PORTO ALEGRE,MINISTERIO DA EDUCACAO,2014,sim,sim,230436
RS,PORTO ALEGRE,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2014,sim,sim,20816326.53
TO,PALMAS,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2015,sim,sim,194530
TO,PALMAS,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2015,sim,sim,100738.13
TO,PALMAS,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2015,sim,sim,120073.81
RS,PORTO ALEGRE,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2014,sim,sim,8000000
