UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Nome_Ministro,Partido_Ministro,Partido_Governador,Transferencia_percapita,Vl_Liberado
MS,CAMPO GRANDE,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PMDB,0.000115337833058719,298.41
PI,TERESINA,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PT,0.00240325872110266,7495.8
SP,SAO PAULO,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PSDB,0.000372523435902741,16265.74
SP,SAO PAULO,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PSDB,0.000376203154160041,16426.41
BA,SALVADOR,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PT,0.00206875446102795,29006.9
PI,TERESINA,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PT,0.00946298751368621,29515.2
BA,FEIRA DE SANTANA,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PT,0.00239114091854244,35000
MT,CUIABA,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PMDB,0.0151192935521718,48750
BA,SALVADOR,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PT,0.00399662124956379,58500
BA,SALVADOR,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PT,0.00516996938357064,72882.78
PR,MARINGA,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PMDB,0.00699260441083907,73000
BA,SALVADOR,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PT,0.00518247174837964,73059.03
BA,SALVADOR,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PT,0.00599493187434568,87750
PR,LONDRINA,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PMDB,0.00947511308142907,98916.4
PI,TERESINA,MINISTERIO DO ESPORTE,2008,Orlando Silva,PCdoB,PT,0.0319377170282883,99636
PE,RECIFE,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,0.0117760482782793,103750
PR,MARINGA,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PMDB,0.0101730757299546,108712
RR,BOA VISTA,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PP,0.217263188079064,109862.39
PE,RECIFE,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,0.0126440196516424,111397.05
BA,SALVADOR,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PT,0.00821391961160313,115794.36
BA,SALVADOR,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PT,0.0083121076873193,117178.55
BA,VITORIA DA CONQUISTA,MINISTERIO DO ESPORTE,2008,Orlando Silva,PCdoB,PT,0.00826994516491037,119935.5
MS,CAMPO GRANDE,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PMDB,0.0486509855142813,121875
PE,RECIFE,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,0.0143838181319589,126725.12
RR,BOA VISTA,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PP,0.253340353791542,128105.35
BA,SALVADOR,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PT,0.00944930931261963,133210.06
MT,CUIABA,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PMDB,0.0453578806565154,146250
BA,SALVADOR,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PT,0.00972139511890912,146250
AC,RIO BRANCO,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PT,0.199578871523063,146250
RR,BOA VISTA,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PP,0.289417519504019,146348.31
PE,RECIFE,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PSB,0.016134053678375,148571.24
DF,BRASILIA,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PT,0.060839828214675,169728.58
PE,RECIFE,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PSB,0.0193057505929947,169814
PI,TERESINA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.0543354861596968,170625
CE,FORTALEZA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.0222251091375932,189581.47
MT,CUIABA,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PMDB,0.0604771742086872,195000
PB,JOAO PESSOA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.0514349018780333,195000
PB,JOAO PESSOA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.0514349018780333,195000
PE,RECIFE,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.0222227160603569,197000
PE,RECIFE,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.0222227160603569,197000
PE,RECIFE,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,0.0224170557586522,197500
BA,SALVADOR,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PT,0.0134655060357835,203684.24
PI,TERESINA,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PSB,0.0688955914986844,219375
SC,CHAPECO,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PMDB,0.0380121015051621,232586.28
AC,RIO BRANCO,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PT,0.313515324066321,234000
BA,SALVADOR,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PT,0.0162937807654438,238498
BA,SALVADOR,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PT,0.0172905045230896,243750
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.0771178214777009,243750
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.0771178214777009,243750
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.0771178214777009,243750
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.083609199467974,264267.61
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.091882880254927,290418.63
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.0940415306756502,297241.58
AC,RIO BRANCO,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PT,0.387503205286413,306166.67
PA,BELEM,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PT,0.0428303451809536,325000
PE,RECIFE,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PSB,0.0370394286878447,325800
BA,SALVADOR,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PT,0.0217697951035676,327507.78
AP,MACAPA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.481892193639933,329759.31
BA,SALVADOR,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PT,0.0237001727154218,335958.03
GO,ANAPOLIS,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PP,0.0563378705522693,338255.11
MT,CUIABA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PMDB,0.110944509214002,341250
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.107964950068781,341250
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.107964950068781,341250
MT,CUIABA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2015,Aldo Rebelo,PCdoB,PDT,0.108712761285763,355000
BA,SALVADOR,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PT,0.0250732211662492,355421.46
PI,TERESINA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.113582760150346,356674.06
CE,FORTALEZA,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PSB,0.0429720213705995,363030
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.123388514364321,390000
PE,RECIFE,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PSB,0.0431726862535361,397557.84
MA,SAO LUIS,MINISTERIO DO ESPORTE,2008,Orlando Silva,PCdoB,PDT,0.06700989717136,422533.52
RN,NATAL,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,0.135944693631095,426532.05
AC,RIO BRANCO,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PT,0.56416524553695,428080.69
AM,MANAUS,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PMDB,0.12639024815751,428888.75
RR,BOA VISTA,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PP,0.922086045108916,466266.64
BA,SALVADOR,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PT,0.0330150787906972,468000
MS,CAMPO GRANDE,MINISTERIO DO ESPORTE,2008,Orlando Silva,PCdoB,PMDB,0.207100166177381,483798
PE,RECIFE,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.0549062928978794,486733.47
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.154235642955402,487500
BA,ILHEUS,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PT,0.0333051770796982,487500
TO,PALMAS,MINISTERIO DO ESPORTE,2008,Orlando Silva,PCdoB,PMDB,0.381098453817974,488000
MS,CAMPO GRANDE,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PMDB,0.19325396779384,500000
AP,MACAPA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.730672613367509,500000
RS,PORTO ALEGRE,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PT,0.0464226561874019,500000
CE,FORTALEZA,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,0.0596314318675113,509718.09
RO,PORTO VELHO,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PMDB,0.288428258277891,510000
PE,RECIFE,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PSB,0.0576900152575596,531241.39
GO,GOIANIA,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PP,0.0903219816749068,535275.16
BA,SALVADOR,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PT,0.03851759192248,546000
PI,TERESINA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.190027434444734,596726.62
BA,SALVADOR,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PT,0.0396737945154315,596858
AP,MACAPA,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PDT,0.970502322820132,608125.49
BA,SALVADOR,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PT,0.0426084232106273,623675
BA,SALVADOR,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PT,0.0433348891996929,651936.01
RO,PORTO VELHO,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PMDB,0.383270256146915,677700
PE,RECIFE,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PSB,0.0775547792459145,682174.32
CE,FORTALEZA,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PSB,0.0818117306291211,691150
MT,CUIABA,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PMDB,0.215373173628106,694440
RJ,RIO DE JANEIRO,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PMDB,0.0446691004085799,719737
RO,PORTO VELHO,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PMDB,0.416976774173116,737300
SE,ARACAJU,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2015,Aldo Rebelo,PCdoB,PMDB,0.362270540813228,812550
CE,FORTALEZA,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,0.101546723844672,868002
DF,BRASILIA,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PT,0.320825488400531,915113.64
AM,MANAUS,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PMDB,0.267190196202919,930072.24
BA,SALVADOR,MINISTERIO DO TRABALHO E EMPREGO,2011,Paulo Roberto dos Santos Pinto,PDT,PT,0.00180902302584468,25502.4
