nome_do_nomeado,secretaria,tipo_de_secretaria,data_nomeacao,ministro_nomeacao,partido_ministro,sexo,governo_nom,partido_nom,part_presidente_camara_momento_nomeacao,filiacao_partidaria,partido,uf_partido,circulacao_organizacional_externa_patronal_sindical_ou_organismo,organizacao,permanencia_cargo,autonomia,nivel_escolaridade,graduacao_curso,graduacao_sociais_aplicadas_agrarias_outras,emprego_cargo_instituicao_trajet_pre_resumido2,emprego_cargo_instituicao_trajet_pos_resumido2
João Alberto Paixão Lages,Secretaria de Produção e Agroenergia / Comercialização,execucao_de_pol_pub,21/11/2013,Antônio Andrade ,PMDB,M,Dilma1,PT,PMDB,sim,PMDB,,patronal,Associação Brasileira das Centrais de Abastecimentos,04.06,nao,graduacao_ou_especializacao,Direito,sociais_aplicadas,Burocrata_outsider,Burocrata_outsider
João Alberto Paixão Lages,Secretaria de Produção e Agroenergia / Comercialização,execucao_de_pol_pub,15/4/2013,Antônio Andrade ,PMDB,M,Dilma1,PT,PMDB,sim,PMDB,,patronal,Associação Brasileira das Centrais de Abastecimentos,03.96,nao,graduacao_ou_especializacao,Direito ,sociais_aplicadas,Burocrata_outsider,Burocrata_outsider
Ênio Antônio Marques Pereira,Secretaria da Defesa Agropecuária,execucao_de_pol_pub,6/3/1995,José Eduardo de Andrade Vieira,PTB,M,FHC1,PSDB,PFL_DEM,nao,sem_partido,,patronal,Associação Brasileira de Frigoríficos,31.13,sim,graduacao_ou_especializacao,Veterinaria,agrarias,Burocrata_outsider,Burocrata_outsider
Ênio Antônio Marques Pereira,Secretaria da Defesa Agropecuária,execucao_de_pol_pub,2/3/2012,Mendes Ribeiro Filho,PMDB,M,Dilma1,PT,PT,nao,sem_partido,,patronal,Associação Brasileira de Frigoríficos,17.43,nao,graduacao_ou_especializacao,Veterinaria,agrarias,Burocrata_outsider,Burocrata_outsider
Décio Coutinho,Secretaria da Defesa Agropecuária,execucao_de_pol_pub,9/2/2015,Kátia Abreu,PMDB,M,Dilma2,PT,PMDB,nao,sem_partido,,patronal,Associação Brasileira de Reciclagem Animal,15.83,nao,graduacao_ou_especializacao,Veterinaria,agrarias,Burocrata_outsider,Mercado
José Amauri Dimarzio,Secretaria Executiva,planejamento_estrategico,9/1/2003,Roberto Rodrigues,sem_partido,M,Lula1,PT,PFL_DEM,nao,sem_partido,,patronal,Associação dos Criadores de Brahman do Brasil,23.16,nao,graduacao_ou_especializacao,Agronomia,agrarias,Mercado,Mercado
Ivan Wedekin,Secretaria de Política Agrícola,planejamento_estrategico,9/1/2003,Roberto Rodrigues,sem_partido,M,Lula1,PT,PFL_DEM,nao,sem_partido,,patronal,Associação Brasileira de Agronegócio,42.16,nao,graduacao_ou_especializacao,Agronomia,agrarias,Mercado,Mercado
Francisco Sérgio Ferreira Jardim,Secretaria da Defesa Agropecuária,execucao_de_pol_pub,21/5/2010,Wagner Rossi,PMDB,M,Lula2,PT,PMDB,nao,sem_partido,,patronal,Confederação Nacional da Agricultura,20.92,nao,graduacao_ou_especializacao,Veterinaria,agrarias,Burocrata_outsider,Burocrata_outsider
Edilson da Silva Guimarães,Secretaria de Política Agrícola,planejamento_estrategico,18/7/2006,Luis Carlos Guedes Pinto,sem_partido,M,Lula1,PT,PCdoB,nao,sem_partido,,patronal,Confederação Nacional da Agricultura,58,sim,mestrado_ou_doutorado,Processamento_de_Dados,outras,Burocrata_insider,Burocrata_insider
Eumar Roberto Novacki,Secretaria Executiva,planejamento_estrategico,24/5/2016,Blairo Maggi,PPB_PP,M,Temer,PMDB,PPB_PP,nao,sem_partido,,patronal,Confederação Nacional da Agricultura,31.03,nao,graduacao_ou_especializacao,Direito,sociais_aplicadas,Burocrata_outsider,Burocrata_outsider
Silas Brasileiro,Secretaria Executiva,planejamento_estrategico,22/5/2007,Reinhold Stephanes,PMDB,M,Lula2,PT,PT,sim,PMDB,MG,patronal,Conselho Nacional do Café,23.74,nao,graduacao_ou_especializacao,Administracao,sociais_aplicadas,Burocrata_outsider,Burocrata_outsider
Erikson Camargo Chandoha,Secretaria de Desenvolvimento Rural / Agropecuário e cooperativismo / Apoio Rural e Cooperativismo,execucao_de_pol_pub,2/2/2011,Mendes Ribeiro Filho,PMDB,M,Dilma1,PT,PT,sim,PMDB,PR,patronal,Cooperativa Agrícola de Campo Mourão,20.33,sim,graduacao_ou_especializacao,Agronomia,agrarias,Burocrata_outsider,Burocrata_outsider
